"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"04/06/2025","682,00","675,00","690,00","675,00","80,13K","1,04%"
"03/06/2025","675,00","672,00","676,00","670,00","87,26K","0,75%"
"02/06/2025","670,00","670,00","672,00","662,10","2,61K","0,90%"
"30/05/2025","664,00","663,00","670,00","662,00","265,79K","0,18%"
"29/05/2025","662,80","673,00","673,00","662,80","32,42K","-1,52%"
"28/05/2025","673,00","670,60","680,00","670,60","10,64K","-0,88%"
"27/05/2025","679,00","685,00","685,00","670,00","3,56K","-1,68%"
"26/05/2025","690,60","695,00","698,00","690,60","13,03K","-0,62%"
"23/05/2025","694,90","699,00","699,00","694,10","63,62K","0,27%"
"22/05/2025","693,00","685,00","701,00","685,00","31,97K","1,17%"
"21/05/2025","685,00","680,00","688,00","673,10","25,45K","0,74%"
"20/05/2025","680,00","667,10","680,00","667,10","40,59K","1,19%"
"19/05/2025","672,00","667,20","674,00","667,20","24,50K","0,73%"
"16/05/2025","667,10","673,00","676,00","667,10","109,24K","-1,17%"
"15/05/2025","675,00","676,50","677,00","675,00","55,98K","-0,15%"
"14/05/2025","676,00","670,60","676,90","670,60","110,82K","0,16%"
"13/05/2025","674,90","670,40","676,90","670,40","28,67K","-0,01%"
"12/05/2025","675,00","665,10","675,00","665,10","151,87K","1,35%"
"09/05/2025","666,00","665,50","670,00","665,50","21,64K","-0,60%"
"08/05/2025","670,00","663,00","671,00","663,00","74,78K","0,74%"
"07/05/2025","665,10","660,30","666,00","660,30","50,57K","0,32%"
"06/05/2025","663,00","663,00","665,00","660,30","20,81K","0,00%"
"05/05/2025","663,00","660,30","665,00","660,30","3,89K","0,00%"
"02/05/2025","663,00","660,00","663,00","659,10","24,77K","0,45%"
"30/04/2025","660,00","664,00","664,00","659,00","110,04K","0,15%"
"29/04/2025","659,00","661,10","665,00","659,00","12,57K","-0,90%"
"28/04/2025","665,00","661,00","666,00","661,00","18,51K","0,30%"
"25/04/2025","663,00","662,90","665,00","660,00","43,55K","0,02%"
"24/04/2025","662,90","660,00","667,00","660,00","25,48K","0,44%"
"23/04/2025","660,00","665,00","670,00","660,00","28,37K","-0,75%"
"22/04/2025","665,00","665,10","671,00","665,00","57,05K","-1,19%"
"21/04/2025","673,00","665,00","673,00","662,10","26,77K","0,45%"
"18/04/2025","670,00","661,00","670,00","661,00","82,41K","0,90%"
"17/04/2025","664,00","663,00","669,90","660,10","24,41K","-0,15%"
"16/04/2025","665,00","670,00","670,00","660,60","71,25K","0,15%"
"15/04/2025","664,00","648,00","664,80","641,30","43,58K","2,47%"
"14/04/2025","648,00","636,10","648,00","636,10","33,59K","2,84%"
"11/04/2025","630,10","649,00","649,00","625,20","137,93K","-1,55%"
"10/04/2025","640,00","659,00","675,00","638,00","247,64K","0,52%"
"09/04/2025","636,70","640,00","655,00","635,00","145,74K","-3,37%"
"08/04/2025","658,90","660,00","670,00","650,30","95,54K","1,92%"
"07/04/2025","646,50","650,00","656,00","640,00","131,36K","-4,22%"
"04/04/2025","675,00","680,00","684,00","675,00","181,78K","-0,74%"
"03/04/2025","680,00","681,50","688,00","676,30","139,96K","-1,45%"
"02/04/2025","690,00","697,00","697,00","686,20","27,19K","-1,40%"
"28/03/2025","699,80","691,30","699,90","691,30","93,69K","1,41%"
"27/03/2025","690,10","695,00","695,00","680,00","47,91K","-0,27%"
"26/03/2025","692,00","690,00","703,00","690,00","28,45K","-0,16%"
"25/03/2025","693,10","705,00","706,00","685,00","184,54K","-1,69%"
"24/03/2025","705,00","687,00","705,30","687,00","227,94K","2,62%"
"21/03/2025","687,00","680,00","687,00","678,00","229,25K","1,78%"
"20/03/2025","675,00","671,50","678,00","671,50","457,72K","0,73%"
"19/03/2025","670,10","660,70","673,00","660,70","259,54K","3,08%"
"18/03/2025","650,10","645,00","650,10","643,10","118,27K","0,93%"
"17/03/2025","644,10","649,40","650,00","644,00","21,64K","-0,76%"
"14/03/2025","649,00","645,00","650,00","645,00","42,28K","0,62%"
"13/03/2025","645,00","633,00","645,00","633,00","93,71K","1,90%"
"12/03/2025","633,00","643,00","645,00","630,90","87,08K","-1,09%"
"11/03/2025","640,00","640,00","644,50","640,00","100,88K","0,46%"
"10/03/2025","637,10","635,00","648,90","635,00","43,35K","0,33%"
"07/03/2025","635,00","634,50","635,00","632,00","30,24K","0,16%"
"06/03/2025","634,00","635,00","637,00","631,20","61,21K","-0,16%"
"05/03/2025","635,00","635,10","638,00","632,10","39,10K","-0,47%"
"04/03/2025","638,00","640,20","645,00","638,00","100,77K","-1,09%"
"03/03/2025","645,00","641,10","658,00","641,10","30,92K","0,77%"
"28/02/2025","640,10","663,00","663,00","640,10","44,83K","-2,27%"
"27/02/2025","655,00","668,90","668,90","651,50","21,98K","-0,76%"
"26/02/2025","660,00","675,00","676,00","660,00","19,96K","-0,90%"
"25/02/2025","666,00","666,00","670,00","661,00","17,59K","0,00%"
"24/02/2025","666,00","665,20","668,00","660,10","38,78K","0,00%"
"21/02/2025","666,00","669,50","671,00","666,00","49,87K","-0,22%"
"20/02/2025","667,50","666,10","670,00","666,10","38,15K","-0,37%"
"19/02/2025","670,00","655,00","670,00","655,00","86,04K","1,98%"
"18/02/2025","657,00","646,00","657,80","646,00","169,06K","1,37%"
"17/02/2025","648,10","641,00","648,10","641,00","64,33K","0,48%"
"14/02/2025","645,00","638,00","645,00","636,10","61,90K","1,10%"
"13/02/2025","638,00","634,00","644,00","634,00","57,44K","-0,31%"
"12/02/2025","640,00","630,00","641,00","630,00","101,73K","2,24%"
"11/02/2025","626,00","624,40","634,00","624,40","89,90K","-0,63%"
"10/02/2025","630,00","627,00","630,00","623,10","9,79K","0,24%"
"07/02/2025","628,50","622,50","630,00","622,50","106,39K","-0,25%"
"06/02/2025","630,10","623,00","630,10","623,00","21,82K","0,82%"
"05/02/2025","625,00","621,50","627,90","621,50","21,30K","0,47%"
"04/02/2025","622,10","624,10","629,00","622,10","41,48K","-0,27%"
"03/02/2025","623,80","630,00","630,00","623,80","9,49K","-1,14%"
"31/01/2025","631,00","635,00","640,00","625,00","82,92K","-0,79%"
"30/01/2025","636,00","629,00","650,00","626,00","99,98K","0,97%"
"29/01/2025","629,90","616,00","629,90","616,00","86,13K","2,07%"
"28/01/2025","617,10","612,50","619,50","612,50","19,33K","0,36%"
"27/01/2025","614,90","612,10","619,00","612,10","18,79K","-0,02%"
"24/01/2025","615,00","612,10","620,00","612,00","99,24K","0,39%"
"23/01/2025","612,60","610,50","615,00","610,50","94,37K","-0,07%"
"22/01/2025","613,00","613,00","617,80","610,00","139,98K","-0,13%"
"21/01/2025","613,80","622,10","624,00","613,80","75,46K","-1,33%"
"20/01/2025","622,10","620,10","625,00","620,10","16,42K","0,18%"
"17/01/2025","621,00","625,00","627,00","620,40","47,47K","-0,59%"
"16/01/2025","624,70","630,00","630,00","620,10","38,87K","-0,45%"
"15/01/2025","627,50","630,00","630,00","623,20","107,79K","1,21%"
"13/01/2025","620,00","620,00","629,00","607,00","17,32K","0,00%"
"10/01/2025","620,00","620,00","633,00","620,00","219,37K","-0,29%"
